doc_names	Harmonic-Disharmonic	Healthy-ill	Natural-Cultural	None	Profound-Superficial	Traditional-Modern	topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	group	adj_bissch	adj_bisschen	adj_dunkel	adj_gewiß	adj_gleich	adj_preussisch	adj_richtig	adj_rot	noun_	noun_angst	noun_auto	noun_bauer	noun_bein	noun_bett	noun_cresspahl	noun_dorf	noun_dorfe	noun_dr	noun_erkenntnis	noun_essen	noun_gefühl	noun_geld	noun_geruch	noun_gesin	noun_haut	noun_idee	noun_junge	noun_kaffee	noun_kerl	noun_knecht	noun_krieg	noun_könig	noun_körper	noun_land	noun_majestät	noun_marie	noun_masse	noun_meer	noun_nase	noun_person	noun_reich	noun_s	noun_satz	noun_schiff	noun_schule	noun_sonntag	noun_stube	noun_telefon	noun_tier	noun_vorstellung	noun_weile	noun_zeitung	noun_zigarette	noun_zigarre	noun_zimmer	verb_bekommen	verb_bestehen	verb_blicken	verb_drehen	verb_entstehen	verb_erinnern	verb_kriegen	verb_laufen	verb_merken	verb_nachdenken	verb_reden	verb_schaun	verb_schreien	verb_spüren	verb_töten	verb_wachsen	verb_warten	verb_weisen	verb_überlegen
Auerbach_Schwarzwälder-Dorfgeschichten_normalized	0.0329246544806063	0.0249888542131074	0.0200401248328131	0.900802496656264	0.0089612126616139	0.0122826571555951	0.044872014407814	0.1902676389981083	0.0090839750371908	0.0068560006526951	0.0018458637670114	0.0069419638733356	0.0396301817912065	0.0101921562873719	0.0279060342210657	0.0262629267253071	0.0186095098532595	0.0544680022678834	0.0022406372481715	0.0437802880396266	0.0078966396894233	0.0251516715857161	0.0139554814373957	0.019483190463174	0.0040779926069688	0.0252934848976807	0.1215395038403859	0.018159875906208	0.0280566241404672	0.0066923641254174	0.0381281977878513	0.0089458375688363	0.0504910730128351	0.0755880425709452	0.0369712194480156	0.0366116077486307	regional heritage art	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
Auerbach_Schwarzwälder-Dorfgeschichten_normalized	0.0329246544806063	0.0249888542131074	0.0200401248328131	0.900802496656264	0.0089612126616139	0.0122826571555951	0.044872014407814	0.1902676389981083	0.0090839750371908	0.0068560006526951	0.0018458637670114	0.0069419638733356	0.0396301817912065	0.0101921562873719	0.0279060342210657	0.0262629267253071	0.0186095098532595	0.0544680022678834	0.0022406372481715	0.0437802880396266	0.0078966396894233	0.0251516715857161	0.0139554814373957	0.019483190463174	0.0040779926069688	0.0252934848976807	0.1215395038403859	0.018159875906208	0.0280566241404672	0.0066923641254174	0.0381281977878513	0.0089458375688363	0.0504910730128351	0.0755880425709452	0.0369712194480156	0.0366116077486307	social critique	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0
Bachmann_Malina_normalized	0.0183324962330487	0.0072827724761426	0.0097940733299849	0.9480160723254646	0.0060271220492214	0.0105474635861376	0.0479063352741383	0.1413399360348017	0.0322213806808578	0.1616910091103157	0.0212896530943832	0.0113501302774799	0.0058336191518509	0.0299567884158461	0.0563651351041305	0.0114069608022213	0.0354301878294781	0.0053485765551927	0.0096197133264366	0.0730055196000799	0.0011872261066617	0.0553132413526452	0.0286172233708732	0.0342346299712935	0.0045059503919195	0.0180026674881817	0.0046709577247665	0.0131540865765483	0.0174685253763656	0.0202268189951787	0.0131914507839599	0.0127388821561542	0.0332486081365545	0.0534741625858095	0.0421081711850124	0.0050924525408616	critique of the present	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Bachmann_Malina_normalized	0.0183324962330487	0.0072827724761426	0.0097940733299849	0.9480160723254646	0.0060271220492214	0.0105474635861376	0.0479063352741383	0.1413399360348017	0.0322213806808578	0.1616910091103157	0.0212896530943832	0.0113501302774799	0.0058336191518509	0.0299567884158461	0.0563651351041305	0.0114069608022213	0.0354301878294781	0.0053485765551927	0.0096197133264366	0.0730055196000799	0.0011872261066617	0.0553132413526452	0.0286172233708732	0.0342346299712935	0.0045059503919195	0.0180026674881817	0.0046709577247665	0.0131540865765483	0.0174685253763656	0.0202268189951787	0.0131914507839599	0.0127388821561542	0.0332486081365545	0.0534741625858095	0.0421081711850124	0.0050924525408616	society critique	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Bernhard_Frost_normalized	0.0519946808510638	0.0188829787234042	0.0269946808510638	0.8688829787234043	0.0215425531914893	0.0117021276595744	0.0163774327111268	0.0891118924402017	0.0897335399235781	0.0967081372523649	0.0073719266945405	0.0023753347649347	0.0381503736328958	0.0072072074716955	0.0160433309067797	0.0259251616860243	0.0042030425613909	0.0286177551876507	0.0006803337304453	0.0834133263428535	0.0031483978719345	0.0266723597744256	0.0328034090725592	0.0371941584707037	0.0055587967604969	0.0358493038910679	0.0362301052862007	0.0025849152425184	0.0014342533233838	0.0384509640095423	0.0815918357916132	0.0189650851607779	0.0068669970875967	0.074209426288223	0.0263256174038004	0.0661955792586722	modernity critique	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Bernhard_Frost_normalized	0.0519946808510638	0.0188829787234042	0.0269946808510638	0.8688829787234043	0.0215425531914893	0.0117021276595744	0.0163774327111268	0.0891118924402017	0.0897335399235781	0.0967081372523649	0.0073719266945405	0.0023753347649347	0.0381503736328958	0.0072072074716955	0.0160433309067797	0.0259251616860243	0.0042030425613909	0.0286177551876507	0.0006803337304453	0.0834133263428535	0.0031483978719345	0.0266723597744256	0.0328034090725592	0.0371941584707037	0.0055587967604969	0.0358493038910679	0.0362301052862007	0.0025849152425184	0.0014342533233838	0.0384509640095423	0.0815918357916132	0.0189650851607779	0.0068669970875967	0.074209426288223	0.0263256174038004	0.0661955792586722	cultural critique	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Broch_Der-Tod-des-Vergil_normalized	0.1016998827667057	0.0328253223915592	0.0143610785463071	0.7977725674091442	0.0375146541617819	0.0158264947245017	0.0571618781372505	0.0164724949207924	0.1589143192792212	0.0073212507732436	0.0403554782166851	0.0047853198088987	0.0139520123676655	0.132540166240602	0.0105460251205774	0.0147390189293894	0.047135492900747	0.0050203485981838	0.0002278831443035	0.0849226439367374	0.0119395113935721	0.1197287225301455	0.006877053155054	0.0196693719138584	0.0032085218940964	0.0994372564156673	0.0012430924549062	0.0297140371134245	0.0009552808810574	0.0307321990789687	0.0114299244368899	0.0326926938710121	0.0126834580053478	0.010654019268598	0.0122885251272093	0.0026520000858936	modernity critique	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Broch_Der-Tod-des-Vergil_normalized	0.1016998827667057	0.0328253223915592	0.0143610785463071	0.7977725674091442	0.0375146541617819	0.0158264947245017	0.0571618781372505	0.0164724949207924	0.1589143192792212	0.0073212507732436	0.0403554782166851	0.0047853198088987	0.0139520123676655	0.132540166240602	0.0105460251205774	0.0147390189293894	0.047135492900747	0.0050203485981838	0.0002278831443035	0.0849226439367374	0.0119395113935721	0.1197287225301455	0.006877053155054	0.0196693719138584	0.0032085218940964	0.0994372564156673	0.0012430924549062	0.0297140371134245	0.0009552808810574	0.0307321990789687	0.0114299244368899	0.0326926938710121	0.0126834580053478	0.010654019268598	0.0122885251272093	0.0026520000858936	society critique	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Broch_Der-Tod-des-Vergil_normalized	0.1016998827667057	0.0328253223915592	0.0143610785463071	0.7977725674091442	0.0375146541617819	0.0158264947245017	0.0571618781372505	0.0164724949207924	0.1589143192792212	0.0073212507732436	0.0403554782166851	0.0047853198088987	0.0139520123676655	0.132540166240602	0.0105460251205774	0.0147390189293894	0.047135492900747	0.0050203485981838	0.0002278831443035	0.0849226439367374	0.0119395113935721	0.1197287225301455	0.006877053155054	0.0196693719138584	0.0032085218940964	0.0994372564156673	0.0012430924549062	0.0297140371134245	0.0009552808810574	0.0307321990789687	0.0114299244368899	0.0326926938710121	0.0126834580053478	0.010654019268598	0.0122885251272093	0.0026520000858936	cultural critique	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Broch_Die-Schlafwandler_normalized	0.0391254315304948	0.0189873417721519	0.0119869581894898	0.903241273494438	0.0143843498273878	0.0122746451860375	0.0385543404233216	0.0767939635824136	0.0647386000692347	0.0417692578603169	0.0114623945826235	0.0211696523729613	0.0064015125851168	0.2458034559825177	0.0119870410611073	0.0198703441126012	0.0215778498075536	0.0190182113234622	0.0055277976020675	0.022964727158945	0.0151378843987696	0.0326697702498185	0.0396909707686445	0.0289035908696848	0.0112936323016926	0.0201893884320763	0.0076560807446343	0.0258387318197261	0.025459868431473	0.0249563029480364	0.0103127798370372	0.0279498832680587	0.0334817827194733	0.0735080590374932	0.0110698666225263	0.0042422590266106	critique of the present	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
