text	dimension	label_text	label	paradigmatic
wo einsame, empörte und von innen verzehrte Künstler, hungrig und stolz, im Zigarettenqualm mit letzten und wüsten Idealen ringen	Harmonisch-Disharmonisch	disharmonisch	1	1
Hier herrscht der Trotz, die äußerste Konsequenz, das verzweifelt thronende Ich, die Freiheit, der Wahnsinn und der Tod	Harmonisch-Disharmonisch	disharmonisch	1	0
eine Persönlichkeit von zugleich martialischem und kränklichem Aussehen, Spiritist und Rittmeister außer Dienst	Gesund-Krank	krank	2	1
Er trug Gehrock und Handschuhe, entschlossen, sich wie in der Kirche zu benehmen	Traditionell-Modern	traditionell	3	1
Er war an einem literarischen Teetische mit ihr zusammengetroffen	Natürlich-Kulturell	kulturell	4	1
voller Ehrfurcht vor allen Erscheinungen der Welt, bereit, zu lernen und zu würdigen, was zu würdigen war	Traditionell-Modern	neuartig	5	0
ragte zwischen niedrigen Holzsesseln ein strenger, schmaler und steiler gotischer Stuhl wie ein Thron und Hochsitz empor	Traditionell-Modern	traditionell	3	0
antik geformte Öllampen	Traditionell-Modern	traditionell	3	1
ihrem prachtvollen Hause mit den Gobelins und den Türumrahmungen aus Giallo antico	Natürlich-Kulturell	kulturell	4	1
und kam zur Tür herein, schön, duftend, luxuriös, in einem blauen Tuchkleid mit gelber Stickerei, den Pariser Hut auf dem rotbraunen Haar	Natürlich-Kulturell	kulturell	4	0
und in des Novellisten Augen ein unglaubhafter Glücksfall von einem Geschöpf, ein Wunder an allseitiger Ausbildung, ein erreichtes Kulturideal	Natürlich-Kulturell	kulturell	4	1
Er las mit einer wilden und überlauten Stimme, die aber gleichwohl im Innersten bebte, wankte und von Kurzluftigkeit beeinträchtigt war. Die Hand, in der er den beschriebenen Bogen hielt, war breit und rot, und dennoch zitterte sie	Gesund-Krank	krank	2	1
dann trank er zitternd einen Schluck aus dem Becher mit rotem Wein	Gesund-Krank	krank	2	0
dann trank er zitternd einen Schluck aus dem Becher mit rotem Wein und griff nach neuen Proklamationen. Schweiß perlte auf seiner niedrigen Stirn, seine wulstigen Lippen bebten, und zwischen den Worten stieß er beständig mit einem kurz fauchenden Geräusch die Luft durch die Nase aus, erschöpft und brüllend	Gesund-Krank	krank	2	1
Das einsame Ich sang, raste und kommandierte. Es verlor sich in irre Bilder, ging in einem Wirbel von Unlogik unter und tauchte plötzlich an gänzlich unerwarteter Stelle gräßlich wieder empor	Harmonisch-Disharmonisch	disharmonisch	1	0
Beim Propheten   Seltsame Orte gibt es, seltsame Gehirne, seltsame Regionen des Geistes, hoch und ärmlich.	None	None	0	0
An den Peripherien der Großstädte, dort, wo die Laternen spärlicher werden und die Gendarmen zu zweien gehen, muß man in den Häusern emporsteigen, bis es nicht weiter geht, bis in schräge Dachkammern, wo junge, bleiche Genies, Verbrecher des Traumes, mit verschränkten Armen vor sich hinbrüten, bis in billig und bedeutungsvoll geschmückte Ateliers,	None	None	0	0
Hier ist das Ende, das Eis, die Reinheit und das Nichts.	None	None	0	0
Hier gilt kein Vertrag, kein Zugeständnis, keine Nachsicht, kein Maß und kein Wert.	None	None	0	0
Hier ist die Luft so dünn und keusch, daß die Miasmen des Lebens nicht mehr gedeihen.	None	None	0	0
 …  Es war Karfreitag, abends um acht.	None	None	0	0
Mehrere von denen, die Daniel geladen hatte, kamen zu gleicher Zeit.	None	None	0	0
Sie hatten Einladungen in Quartformat erhalten, auf denen ein Adler einen nackten Degen in seinen Fängen durch die Lüfte trug und die in eigenartiger Schrift die Aufforderung zeigten, an dem Konvent zur Verlesung von Daniels Proklamationen am Karfreitagabend teilzunehmen, und sie trafen nun zur bestimmten Stunde in der öden und halbdunklen Vorstadtstraße vor dem banalen Mietshause zusammen, in welchem die leibliche Wohnstätte des Propheten gelegen war.	None	None	0	0
Einige kannten einander und tauschten Grüße.	None	None	0	0
Es waren der polnische Maler und das schmale Mädchen, das mit ihm lebte, der Lyriker, ein langer, schwarzbärtiger Semit mit seiner schweren, bleichen und in hängende Gewänder gekleideten Gattin,	None	None	0	0
, und ein junger Philosoph mit dem Äußern eines Känguruhs.	None	None	0	0
Nur der Novellist, ein Herr mit steifem Hut und gepflegtem Schnurrbart, kannte niemanden.	None	None	0	0
Er kam aus einer andern Sphäre, war nur zufällig hierher geraten.	None	None	0	0
Er hatte ein gewisses Verhältnis zum Leben, und ein Buch von ihm wurde in bürgerlichen Kreisen gelesen.	None	None	0	0
Er war entschlossen, sich streng bescheiden, dankbar und im ganzen wie ein Geduldeter zu benehmen.	None	None	0	0
In einem kleinen Abstande folgte er den anderen ins Haus.	None	None	0	0
Sie stiegen die Treppe empor, eine nach der andern, gestützt auf das gußeiserne Geländer.	None	None	0	0
Sie schwiegen, denn es waren Menschen, die den Wert des Wortes kannten und nicht unnütz zu reden pflegten.	None	None	0	0
Im trüben Licht der kleinen Petroleumlampen, die an den Biegungen der Treppe auf den Fenstergesimsen standen, lasen sie im Vorübergehen die Namen an den Wohnungstüren.	None	None	0	0
Sie stiegen an den Heim- und Sorgenstätten eines Versicherungsbeamten, einer Hebamme, einer Feinwäscherin, eines »Agenten«, eines Leichdornoperateurs vorüber, still, ohne Verachtung, aber fremd.	None	None	0	0
Sie stiegen in dem engen Treppenhaus wie in einem halbdunklen Schacht empor, zuversichtlich und ohne Aufenthalt; denn von oben, von dort, wo es nicht weiter ging, winkte ihnen ein Schimmer, ein zarter und flüchtig bewegter Schein aus letzter Höhe.	None	None	0	0
Endlich standen sie am Ziel, unter dem Dach, im Lichte von sechs Kerzen, die in verschiedenen Leuchtern auf einem mit verblichenen Altardeckchen belegten Tischchen zu Häupten der Treppe brannten.	None	None	0	0
An der Tür, welche bereits den Charakter eines Speichereinganges trug, war ein graues Pappschild befestigt, auf dem in römischen Lettern, mit schwarzer Kreide ausgeführt, der Name Daniel zu lesen war.	None	None	0	0
Sie schellten …  Ein breitköpfiger, freundlich blickender Knabe in einem neuen blauen Anzug und mit blanken Schaftstiefeln öffnete ihnen, eine Kerze in der Hand, und leuchtete ihnen schräg über den kleinen, dunklen Korridor in einen untapezierten und mansardenartigen Raum, der bis auf einen hölzernen Garderobehalter durchaus leer war.	None	None	0	0
Wortlos, mit einer Geste, die von einem lallenden Kehllaut begleitet war, forderte der Knabe zum Ablegen auf, und als der Novellist aus allgemeiner Teilnahme eine Frage an ihn richtete, erwies es sich vollends, daß das Kind stumm war.	None	None	0	0
Es führte die Gäste mit seinem Licht über den Korridor zurück zu einer anderen Tür und ließ sie eintreten.	None	None	0	0
Der Novellist folgte als letzter.	None	None	0	0
Eine feierlich schwankende und flimmernde Helligkeit, erzeugt von zwanzig oder fünfundzwanzig brennenden Kerzen, herrschte in dem mäßig großen Raum, den sie betraten.	None	None	0	0
Ein junges Mädchen mit weißem Fallkragen und Manschetten über dem schlichten Kleid, Maria Josefa, Daniels Schwester, rein und töricht von Angesicht, stand dicht bei der Tür und reichte allen die Hand.	None	None	0	0
Der Novellist kannte sie.	None	None	0	0
Sie hatte aufrecht dagesessen, die Tasse in der Hand, und mit klarer und inniger Stimme von ihrem Bruder gesprochen.	None	None	0	0
Sie betete Daniel an.	None	None	0	0
Der Novellist suchte ihn mit den Augen …  »Er ist nicht hier«, sagte Maria Josefa.	None	None	0	0
»Er ist abwesend, ich weiß nicht, wo.	None	None	0	0
Aber im Geiste wird er unter uns sein und die Proklamationen Satz für Satz verfolgen, während sie hier verlesen werden.«  »Wer wird sie verlesen?« fragte der Novellist gedämpft und ehrerbietig.	None	None	0	0
Es war ihm ernst.	None	None	0	0
Er war ein wohlmeinender und innerlich bescheidener Mensch,	None	None	0	1
»Ein Jünger meines Bruders«, antwortete Maria Josefa, »den wir aus der Schweiz erwarten.	None	None	0	0
Er ist noch nicht da.	None	None	0	0
Er wird im rechten Augenblick zur Stelle sein.«  Gegenüber der Tür, auf einem Tisch stehend und mit dem oberen Rande an die schräg abfallende Decke gelehnt, zeigte sich im Kerzenschein eine große, in heftigen Strichen ausgeführte Kreidezeichnung, die Napoleon darstellte, wie er in plumper und despotischer Haltung seine mit Kanonenstiefeln bekleideten Füße an einem Kamin wärmte.	None	None	0	0
Zur Rechten des Einganges erhob sich ein altarartiger Schrein, auf welchem zwischen Kerzen, die in silbernen Armleuchtern brannten, eine bemalte Heiligenfigur mit aufwärts gerichteten Augen ihre Hände ausbreitete.	None	None	0	0
Eine Betbank stand davor, und näherte man sich, so gewahrte man eine kleine, aufrecht an einem Fuße des Heiligen lehnende Amateurphotographie, die einen etwa dreißigjährigen jungen Mann mit gewaltig hoher, bleich zurückspringender Stirn und einem bartlosen, knochigen, raubvogelähnlichen Gesicht von konzentrierter Geistigkeit zeigte.	None	None	0	0
Der Novellist verweilte eine Weile vor Daniels Bildnis; dann wagte er sich behutsam weiter ins Zimmer hinein.	None	None	0	0
Hinter einem großen Rundtisch, in dessen gelbpolierte Platte, von einem Lorbeerkranz umrahmt, derselbe degentragende Adler eingebrannt war, den man auf den Einladungen erblickt hatte,	None	None	0	0
Eine lange, schlicht gezimmerte Bank, mit billigem Stoff überdeckt, erstreckte sich vor der geräumigen, von Mauer und Dach gebildeten Nische, in der das niedrige Fenster gelegen war.	None	None	0	0
Es stand offen, vermutlich, weil der untersetzt gebaute Kachelofen sich als überheizt erwiesen hatte, und gewährte den Ausblick auf ein Stück blauer Nacht, in deren Tiefe und Weite die unregelmäßig verteilten Gaslaternen als gelblich glühende Punkte sich in immer größeren Abständen verloren.	None	None	0	0
Aber dem Fenster gegenüber verengerte sich der Raum zu einem alkovenartigen Gelaß, das heller als der übrige Teil der Mansarde erleuchtet war und halb als Kabinett, halb als Kapelle behandelt erschien.	None	None	0	0
